Date,IBM US Equity Price,IBM US Equity Hist Vol (10),IBM US Equity Hist Vol (30),IBM US Equity Hist Vol (50),IBM US Equity Hist Vol (100),IBM US Equity Implied Vol
11/14/17,147.6900024,7.506413288,28.76931179,22.87719463,18.71502615,14.50980831
11/13/17,148.4,7.879489156,28.73599328,22.86931514,18.74341352,14.533625
11/10/17,149.16,7.938807896,28.68566374,22.90422615,18.72910885,13.813625
11/09/17,150.3,8.664012988,28.72791307,22.86857151,18.70389276,13.9358125
11/08/17,151.57,7.975659133,28.62049181,22.76595537,18.69401421,13.6943125
11/07/17,151.35,7.891148819,28.62341509,22.79869959,18.69263616,14.1813125
11/06/17,150.84,10.18234806,28.70215846,22.80545188,18.69057338,13.958
11/03/17,151.58,14.69958088,28.66339088,22.8744718,18.71757784,13.811375
11/02/17,153.35,15.3772901,28.39857272,22.69984934,18.62894258,14.052625
11/01/17,154.03,16.99572724,28.34520364,22.67725316,18.62086091,14.226
10/31/17,154.06,18.36862331,28.400783,22.71960378,18.64619428,14.458625
10/30/17,154.36,51.25415971,28.48325878,22.71263325,18.67853094,13.9603125
10/27/17,153.68,51.42420806,28.49322053,22.71313842,18.78483735,13.6895
10/26/17,153.6,51.50749567,28.51455112,22.80738424,18.82183401,14.112125
10/25/17,153.5,51.51217345,28.58912649,23.04997423,18.88234894,14.201375
10/24/17,155.88,50.41532281,28.13472977,22.70622004,18.71211377,13.9638125
10/23/17,159.55,47.93967562,27.00188,21.94272185,18.31499173,12.581125
10/20/17,162.07,45.79495716,26.37559121,21.53102059,18.13911139,11.9156875
10/19/17,160.9,45.8231109,26.64187716,21.51323028,18.10654692,14.056
10/18/17,159.53,46.28395986,26.69483486,21.47197973,18.08059136,15.640875
10/17/17,146.54,7.185494516,9.180114107,9.217975794,11.68052997,19.383625
10/16/17,146.83,7.191889941,9.251594447,9.493283789,11.69806562,18.9736875
10/13/17,147.1,7.108011062,9.537497041,9.887646805,11.72303559,19.340625
10/12/17,147.03,9.081183158,9.739222598,9.891721589,11.73614363,18.7921875
10/11/17,147.62,9.078260377,9.638982727,9.864292943,11.73614006,18.739625
10/10/17,148.5,7.995032661,9.525148225,9.861629178,11.72407069,17.831
10/09/17,147.39,8.382705992,9.38111394,9.76557064,11.73169772,18.406125
10/06/17,146.48,8.09718536,9.68452731,9.684840326,11.68502883,18.503875
10/05/17,146.72,8.333146725,9.766981984,9.763955927,12.03258145,18.432125
10/04/17,146.48,8.401906051,9.86686396,9.771485954,12.26162452,18.675625
10/03/17,146.78,8.734259614,10.03138232,9.851822476,12.32472219,18.8523125
10/02/17,146.66,10.14415498,10.08232336,9.854868804,12.3262421,18.996
09/29/17,145.08,8.571758091,9.710790704,9.673489815,12.20536449,19.610375
09/28/17,145.66,8.289092192,9.913342028,9.67237247,12.22142439,19.6941875
09/27/17,145.66,8.82528101,10.7509391,9.675872828,12.25471909,20.330375
09/26/17,146.56,8.253980421,10.55215288,13.74130467,12.39100561,20.158875
09/25/17,145.87,7.888361847,10.52251537,13.78609088,13.00011576,19.1661875
09/22/17,145.13,8.135263707,10.47097953,13.80416222,12.97641872,18.4151875
09/21/17,145.26,11.98923868,10.46102071,13.85604115,12.98071275,18.843125
09/20/17,145.88,11.80998651,10.34280343,13.83739885,12.97562348,18.930625
09/19/17,144.39,11.55091703,9.976131874,13.62013222,12.91425879,17.868
09/18/17,144.55,11.79914159,10.41461125,13.62027649,12.91502031,17.376875
09/15/17,144.82,12.5769245,11.00170797,13.65598095,12.92151882,14.7605
09/14/17,145.54,12.55357408,10.90552177,13.67140224,12.90654659,14.0481875
09/13/17,145.99,12.18736972,10.89976263,13.77584029,12.90361371,13.243
09/12/17,145.76,12.71273078,11.04982212,14.00395964,12.90796587,13.3225
09/11/17,144.86,12.55747575,10.96887644,14.2011634,12.97460711,13.460625
09/08/17,142.45,9.846059948,9.710885651,13.55574194,12.66535526,13.866
09/07/17,142.9,10.3328342,9.791664217,13.62388294,14.95870698,13.7745
09/06/17,143.82,9.931624046,9.632590616,13.63300725,14.9566037,13.623625
09/05/17,143.04,10.36041844,9.586175598,13.53933669,15.01725337,13.626875
09/01/17,144.08,8.952045842,9.389325462,13.6271187,15.01169812,12.4915
08/31/17,143.03,8.62593827,9.294538625,13.47332446,14.94335274,12.757125
08/30/17,142.56,10.06138957,9.239115002,13.48720973,14.92311879,13.2798125
08/29/17,143.14,12.40547396,9.216101436,13.54541398,14.93044308,13.1806875
08/28/17,142.51,12.28495901,15.42280442,13.48287048,14.89507998,12.9473125
08/25/17,143.74,11.16723753,15.54388808,13.39226564,14.85538152,12.750375
08/24/17,142.94,10.94062795,15.44808426,13.45482815,14.85510756,13.3043125
08/23/17,142.14,10.55716613,15.37413071,13.38674427,14.80684209,13.228125
08/22/17,141.01,9.483973143,15.03460744,13.19755733,14.73111219,12.8521875
08/21/17,140.33,8.917530846,14.96845365,13.13716555,14.69989386,13.5358125
08/18/17,139.7,9.086069624,14.79524858,13.21650952,14.66217097,13.931875
08/17/17,140.7,10.05143587,14.86299484,13.60492116,14.64114453,14.023625
08/16/17,142.5,8.603384567,14.66939444,13.50242717,14.57517039,12.937875
08/15/17,142.07,8.6729051,14.68865595,13.58854169,14.55456601,13.904875
08/14/17,142.32,8.936579702,14.96509158,13.59094303,14.56643101,13.244
08/11/17,141.84,9.148920525,15.46287468,13.5736431,14.54405725,14.744
08/10/17,141.84,9.458007497,15.44112554,13.58296915,14.58792011,14.996125
08/09/17,141.77,9.502210427,15.47024744,13.58123159,14.64428334,14.2103125
08/08/17,142.11,9.506819754,15.6039209,13.68624545,14.64961556,14.378875
08/07/17,143.47,8.784005247,15.47011078,13.57883608,14.64298846,13.965625
08/04/17,145.16,6.690390027,15.48775057,13.3799288,14.6512493,13.702875
08/03/17,144.94,7.443978311,15.44819097,13.4294058,14.6458738,14.1621875
08/02/17,144.45,6.858051498,15.46827272,13.42533368,14.62419921,14.009125
08/01/17,145.3,6.720453326,15.51272706,13.39590635,14.64033857,14.1808125
07/31/17,144.67,22.47396092,15.40775853,13.39564634,14.63284935,14.9906875
07/28/17,144.29,23.08810797,15.33308694,13.52843928,14.71408376,13.311625
07/27/17,145.07,23.08935437,15.59478521,13.48718349,14.71285199,13.198
07/26/17,145.36,23.70707375,15.6601564,14.05905708,14.71540466,13.057625
07/25/17,146.19,23.90605736,15.62014027,14.45225185,14.72209974,12.6713125
07/24/17,145.99,24.11254005,15.63518788,14.57059842,14.71135931,13.067875
07/21/17,147.08,24.15649735,15.7741137,14.48526353,14.71528441,13.235125
07/20/17,147.66,24.52418402,16.35180078,14.48577081,14.88397882,13.245125
07/19/17,147.53,24.75830683,16.53726468,14.53070888,14.89331103,14.8523125
07/18/17,154,8.682349126,10.56243667,10.69173888,13.38380042,23.252
07/17/17,153.01,10.0798438,10.39337629,11.01024356,13.31794102,21.0986875
07/14/17,154.24,11.49431241,10.09868714,12.33070325,13.29763468,20.515625
07/13/17,153.63,11.31918653,10.12876855,12.30784028,13.30927249,20.969
07/12/17,153.7,11.98719359,10.12662869,12.31915706,13.30833058,21.781
07/11/17,153.19,12.0315725,10.22904379,12.29537165,13.28981558,20.098625
07/10/17,153.42,12.07824096,10.34010397,12.44411792,13.28988145,19.9636875
07/07/17,152.94,12.75164066,10.39801647,12.40936404,13.37133597,19.7393125
07/06/17,152.36,12.44066843,10.42480201,12.37420773,13.37680382,20.099375
07/05/17,153.67,11.93349067,10.12065592,12.24918716,13.35728074,20.1011875
07/03/17,155.58,10.51648583,9.431381855,11.95380391,13.33159134,19.044125
06/30/17,153.83,8.259611413,8.916792444,11.64083927,13.22381067,19.201625
06/29/17,154.13,8.373599973,9.160474698,11.91418015,13.35531647,19.825375
06/28/17,155.32,8.347110765,8.799277304,11.86064015,13.56954975,18.7041875
06/27/17,154.75,8.250322971,10.43669181,16.41820461,13.54779065,19.110125
06/26/17,155.23,8.215530132,11.18404954,16.44513597,13.61196334,18.521125
06/23/17,154.11,7.868680418,11.2009893,16.51140077,13.55020815,18.5195
06/22/17,154.4,8.843727713,11.20054612,16.54678733,13.54981362,18.6793125
06/21/17,153.79,11.14941037,11.24774972,16.49767459,13.55820061,18.938875
06/20/17,154.95,10.18787741,11.13759114,16.45300029,13.57096832,18.09
06/19/17,154.84,12.07946768,11.31496775,16.45878883,13.60459873,17.0371875
06/16/17,155.38,11.74241181,11.97078911,16.45604252,13.61232253,15.0431875
06/15/17,154.22,11.29825576,13.97490039,16.29983644,13.75029146,15.2888125
06/14/17,153.81,11.66113199,13.97445655,16.33741151,14.5401218,14.5786875
06/13/17,154.25,11.45973215,13.97570408,16.34899947,14.55066732,14.7915
06/12/17,155.18,10.80376963,13.91194937,16.3613568,15.00371768,15.5676875
06/09/17,154.1,11.10196231,13.90880867,16.24163054,14.95113928,14.1771875
06/08/17,152.1,8.769907211,13.17981242,15.83504579,14.80543248,13.688125
06/07/17,150.98,7.999038251,12.91623534,15.65506248,14.75856266,14.1173125
06/06/17,152.37,6.58859175,12.72477326,15.67182914,14.70492344,13.6528125
06/05/17,152.41,6.978290176,12.71681652,15.67114988,14.7087021,13.7101875
06/02/17,152.05,7.283961924,12.71497304,15.64029362,14.88230116,13.867375
06/01/17,152.67,7.905766658,13.05420358,15.65344546,14.99880443,13.9986875
05/31/17,152.63,7.992082067,13.15505931,15.74512972,15.08820851,13.866125
05/30/17,151.73,12.5342756,19.36052281,15.71265667,15.07674426,14.1815
05/26/17,152.49,14.80229449,19.3695566,15.72327524,15.06758499,13.471875
05/25/17,153.2,14.81827822,19.76548877,15.78180312,15.21011708,13.5136875
05/24/17,152.51,14.8727986,19.62765837,15.89521643,15.24164259,13.782625
05/23/17,152.03,15.08600476,19.55472775,15.85232592,15.23413719,14.061875
05/22/17,152.64,15.2755578,19.5549916,15.85310199,15.23550714,14.0451875
05/19/17,151.98,15.42019552,19.3887058,15.79600456,15.23155162,14.52
05/18/17,150.78,15.70987537,19.03486813,15.66317425,15.17328829,14.9016875
05/17/17,150.93,19.6552432,19.01358759,15.80257304,15.17430346,15.3016875
05/16/17,153.68,18.58790085,18.62184218,15.43555571,14.91647335,13.144875
05/15/17,151.51,15.25246207,17.77274686,14.89505747,14.71106366,13.2965
